Issue_ID,Severity,Category,Extension,File,Line_Range,Issue_Type,Title,Description,Exploit_Scenario,Recommended_Fix,Impact_High,Impact_Medium,Impact_Low
EXT-001,CRITICAL,Security,bg-shell,bg-shell-tool.ts,312-315,Shell Injection,Shell injection in send action,User input written directly to stdin without escaping special characters,send action with $(rm -rf /) payload,Escape shell metacharacters or use safer IPC mechanism,Process compromise,Data loss,Moderate risk
EXT-002,CRITICAL,Security,aws-auth,index.ts,100-101,Command Injection,Command injection via exec(),awsAuthRefresh command from settings.json executed without sanitization,Modify settings.json to include command chaining with exfil payload,Whitelist AWS command format and use execFile instead of exec,Agent compromise,Credential theft,High risk
EXT-003,CRITICAL,Security,browser-tools,tools/inspection.ts,193-225,XSS Vector,Arbitrary JavaScript evaluation,browser_evaluate tool allows unrestricted code execution in browser context,Untrusted source controls expression parameter,Document design intent; ensure only agent-generated expressions used,XSS attack,Session hijack,Intentional by design
EXT-004,HIGH,Security,mcp-client,index.ts,189-190,Header Injection,Unvalidated MCP server headers,HTTP headers from config passed directly to HTTP transport without validation,CRLF injection via config headers field,Validate header names and values against regex,Response splitting attack,Cache poisoning,Config modification risk
EXT-005,HIGH,Memory Leak,voice,index.ts,285,Resource Leak,Missing readline cleanup on process exit,Readline interface never explicitly closed when recognizer process exits,Long-running voice sessions cause cumulative memory growth,Add rl.close() in exit handler and cleanup function,Memory exhaustion,CPU impact,Gradual degradation
EXT-006,HIGH,Error Handling,browser-tools,lifecycle.ts,217-225,Error Handling,Unhandled promise in page load,Promise chain created but not awaited; exception in callbacks may go unhandled,Concurrent page navigations cause cascading promise rejections,Add explicit error handler to promise chain,Unhandled exception,Silent failures,Low visibility
EXT-007,HIGH,Event Listener,browser-tools,lifecycle.ts,58-149,Memory Leak,Unhandled page event listeners,Multiple page event listeners attached but not explicitly cleaned up on session end,Long session with many page interactions causes listener accumulation,Implement listener deregistration in closeBrowser or add weak references,Memory leak,Event queue buildup,Slow degradation
EXT-008,HIGH,Security,aws-auth,index.ts,58-65,Path Traversal,Environment variable path traversal,PI_CONFIG_DIR can be set to arbitrary path with .. or symlinks,Set PI_CONFIG_DIR=../../../../etc/passwd to read arbitrary config,Validate config dir is within project or home directory,Config file disclosure,Settings tampering,Low probability
EXT-009,MEDIUM,Architecture,subagent,index.ts,1-2596,Code Smell,Massive single file,2596-line index.ts exceeds recommended single-file size limit,Difficult to navigate and refactor; increased merge conflict risk,Split into 5-6 modules: orchestration.ts, worker.ts, isolation.ts, approval.ts, models.ts, configured-model.ts,Maintainability,Development velocity,Code quality
EXT-010,MEDIUM,Architecture,remote-questions,telegram-live-relay.ts,1-1105,Code Smell,Large monolithic file,1105-line telegram relay file mixes concerns: streaming, formatting, event handling,Complex logic across 1000+ lines reduces testability,Split into: relay.ts (events), event-stream.ts (streaming), format.ts (formatting),Maintainability,Testability,Code debt
EXT-011,MEDIUM,Technical Debt,browser-tools,tools/state-persistence.ts,9,Stale Reference,gsd path literal in user-facing code,Docstring and code reference .gsd/browser-state which is now .lsd/browser-state,User sees deprecated .gsd path in help text,Replace all .gsd references with .lsd in code and user docs,User confusion,Breaking change,Documentation clarity
EXT-012,MEDIUM,Technical Debt,browser-tools,tools/visual-diff.ts,9,Stale Reference,gsd path literal in user-facing code,Baseline directory path hardcoded as .gsd/browser-baselines instead of .lsd/browser-baselines,Visual diff tool stores baselines in deprecated directory,Update path literal and migrate existing baselines,User confusion,Storage location mismatch,Gitignore issues
EXT-013,MEDIUM,Technical Debt,voice,linux-ready.ts,84,Stale Reference,Deprecated path in user instructions,User notification references .gsd/voice-venv instead of .lsd/voice-venv,Help text directs users to create venv in wrong location,Update notification string and environment paths,User confusion,Venv mismatch,Setup failures
EXT-014,MEDIUM,Technical Debt,shared,rtk.ts,6-38,Stale Reference,GSD_RTK environment variables,All RTK configuration uses GSD_RTK_* env var names; should use LSD_RTK_*,Users following old docs set GSD_RTK_PATH but code now expects LSD_RTK_PATH,Rename to LSD_RTK_* with backward-compatible fallback to GSD_RTK_*,Integration issues,Config not found,Compatibility break
EXT-015,MEDIUM,Technical Debt,memory,auto-extract.ts,170-180,Stale Reference,GSD CLI references,Code falls back to running 'gsd' binary when LSD_BIN_PATH not set,Auto-memory fails if gsd not in PATH; should prefer lsd,Add LSD_BIN_PATH check first; fall back to lsd then gsd,Auto-memory failure,Fallback doesn't work,Edge case
EXT-016,MEDIUM,Input Validation,browser-tools,tools/interaction.ts,200,Input Validation,No max-length check on browser_type text,Very long text parameter could cause performance issues or timeout,Send 1MB string to browser_type → browser hangs or times out,Add max-length validation: if (params.text.length > 10000) throw Error,DoS risk,Performance degradation,Minor impact
EXT-017,MEDIUM,Input Validation,browser-tools,tools/inspection.ts,300+,Input Validation,Unvalidated CSS selectors,User-provided selectors passed directly to Playwright without syntax validation,Malformed selector like ">>" causes Playwright error without clear message,Validate selector syntax before passing to DOM API,Poor error handling,Unhelpful error messages,User frustration
EXT-018,MEDIUM,Error Handling,bg-shell,bg-shell-tool.ts,160-170,Error Handling,Missing label validation,Process label parameter is user-controlled and stored in alerts; could contain ANSI codes,Send label with ANSI codes → terminal rendering corruption in alerts,Sanitize label and strip ANSI codes before storing,TUI corruption,Terminal mangling,Display issues
EXT-019,MEDIUM,File Handling,memory,dream.ts,200+,Validation,Unvalidated memory file paths,No validation of memory file paths before writing consolidation results,Craft memory paths with .. escapes to write outside memory directory,Validate file paths are within getMemoryDir() using path.resolve() checks,Data escape,Privacy breach,File corruption
EXT-020,MEDIUM,Event Listener,mcp-client,index.ts,250+,Resource Management,Missing connection cleanup on deactivate,MCP client connections not closed when extension deactivates,Long session with multiple MCP servers leaves orphan connections,Add pi.onDeactivate hook to call closeAll(),Resource leak,File handle exhaustion,Gradual degradation
EXT-021,MEDIUM,Event Listener,remote-questions,index.ts,50+,Resource Management,Missing event listener cleanup,Event listeners for Slack/Discord/Telegram adapters never deregistered,Extended sessions accumulate duplicate listeners,Implement listener deregistration pattern in extension deactivate,Duplicate messages,Event loop growth,Slow degradation
EXT-022,MEDIUM,Race Condition,async-jobs,job-manager.ts,100-115,Concurrency,Potential race in job eviction and awaiting,Between scheduleEviction and timeout firing job could be awaited,Timing-dependent job state corruption (unlikely but possible),Document and test queueMicrotask ordering assumption,Rare edge case,Hard to diagnose,Low probability
EXT-023,LOW,Code Smell,browser-tools,interaction.ts,interaction.ts,Copy-paste,Repeated error message pattern,Same try-catch-err pattern appears in 15+ tool handlers,Maintenance burden if error handling changes,Extract getErrorMessage(err) helper to shared/error-utils.ts,Code duplication,Maintainability,Tech debt
EXT-024,LOW,Code Smell,multiple,multiple,multiple,Missing Tests,No unit tests for security-critical paths,aws-auth, bg-shell, mcp-client lack test coverage for injection scenarios,Regressions not caught by test suite,Add unit tests for: command validation, shell escaping, header validation,Testing gap,Quality assurance,Risk of regression
EXT-025,LOW,Architecture,browser-tools,core.ts,50+,Design,Global state management,module-level state exports (processes, consoleLogs, networkLogs) not encapsulated,Difficult to test and reason about state mutations,Refactor state into BrowserToolsState class with accessor methods,Testability,Maintainability,Code quality
EXT-026,LOW,Documentation,multiple,multiple,multiple,Stale Comments,31+ references to GSD in comments and docstrings,Comments still mention GSD workflows; inconsistent with LSD naming,User confusion when reading code comments and docs,Mass update all GSD → LSD in comments and docstrings,Documentation clarity,User onboarding,Low impact
EXT-027,LOW,Validation,mcp-client,index.ts,220,Validation,No validation of environment variable names,resolveString() expands ${VAR} but doesn't validate var name format,Malformed var names like ${..} could cause unexpected behavior,Add regex check: /^\w+$/ for var names before expansion,Edge case,Unexpected behavior,Low impact
EXT-028,LOW,Error Handling,bg-shell,process-manager.ts,150+,Documentation,Incomplete error documentation,Some error paths (e.g., spawn failures) not fully documented in tool docs,Users unsure why process fails to start,Add error documentation to tool prompts and help text,User confusion,Support burden,Documentation gap
